100,4930
200,7626
300,12894
400,15666
500,18349
600,24856
700,32176
800,31865
900,37008
1000,42359
1100,43834
1200,49356
1300,52996
1400,54899
1500,55152
1600,64036
1700,69078
1800,71242
1900,77429
2000,77602
2100,83443
2200,91945
2300,96856
2400,102209
2500,104506
2600,113063
2700,109871
2800,109436
2900,117321
3000,126814
3100,131608
3200,131714
3300,138223
3400,142153
3500,144217
3600,153300
3700,149654
3800,160837
3900,152232
4000,171747
4100,174225
4200,168501
4300,179272
4400,181205
4500,178116
4600,185741
4700,195421
4800,188554
4900,198251
5000,191271
5100,203387
5200,217384
5300,216223
5400,226265
5500,222280
5600,237298
5700,229237
5800,232188
5900,229503
6000,239796
6100,246859
6200,253606
6300,258377
6400,260623
6500,272157
6600,277667
6700,275739
6800,283506
6900,280803
7000,285192
7100,287635
7200,281666
7300,295283
7400,293205
7500,305436
7600,301383
7700,312903
7800,322970
7900,329125
8000,315589
8100,330164
8200,341356
8300,356837
8400,342910
8500,348844
8600,346372
8700,362864
8800,363561
8900,361203
9000,370501
9100,350898
9200,363987
9300,376666
9400,377269
9500,387005
9600,391224
9700,395342
9800,409119
9900,408877
10000,402287
