100,4493
200,6804
300,13231
400,14233
500,20988
600,24114
700,27065
800,32487
900,38230
1000,41002
1100,44784
1200,48555
1300,55968
1400,56456
1500,58201
1600,66720
1700,77592
1800,75172
1900,81064
2000,79351
2100,89816
2200,81070
2300,87712
2400,89011
2500,99247
2600,111035
2700,108527
2800,121847
2900,119967
3000,120477
3100,125385
3200,122954
3300,129850
3400,144350
3500,147004
3600,144204
3700,160033
3800,162836
3900,162888
4000,163712
4100,161356
4200,173326
4300,171225
4400,174890
4500,182632
4600,199315
4700,203879
4800,194684
4900,200552
5000,199789
5100,204861
5200,200522
5300,207319
5400,218330
5500,223382
5600,222024
5700,227745
5800,233880
5900,232881
6000,241904
6100,258192
6200,255412
6300,261522
6400,268611
6500,261380
6600,273383
6700,273435
6800,289558
6900,278938
7000,299662
7100,294960
7200,288734
7300,292464
7400,292253
7500,306649
7600,305161
7700,317953
7800,319842
7900,323929
8000,328420
8100,328292
8200,335897
8300,333291
8400,340376
8500,345039
8600,353894
8700,351385
8800,355040
8900,358619
9000,366298
9100,362608
9200,376347
9300,372315
9400,383175
9500,379004
9600,388957
9700,400934
9800,400015
9900,404896
10000,411441
