100,3078
200,6915
300,11079
400,14886
500,18558
600,23909
700,23610
800,34556
900,38053
1000,40464
1100,47432
1200,44224
1300,52880
1400,59363
1500,57872
1600,67931
1700,65354
1800,74707
1900,75662
2000,82161
2100,80909
2200,87216
2300,92922
2400,94084
2500,98619
2600,100641
2700,111461
2800,110832
2900,117005
3000,124609
3100,127372
3200,132021
3300,128102
3400,136666
3500,143592
3600,149712
3700,144368
3800,158972
3900,152687
4000,161928
4100,166442
4200,166128
4300,171122
4400,176564
4500,181500
4600,185415
4700,188166
4800,203457
4900,198711
5000,200502
5100,202487
5200,218602
5300,208120
5400,220430
5500,221623
5600,227320
5700,229259
5800,234092
5900,241763
6000,244312
6100,240879
6200,235764
6300,252685
6400,253063
6500,255665
6600,277871
6700,267830
6800,279620
6900,272118
7000,283543
7100,279435
7200,298414
7300,298547
7400,299825
7500,311649
7600,307911
7700,310726
7800,322788
7900,330416
8000,333714
8100,347719
8200,325335
8300,337857
8400,341716
8500,352467
8600,350427
8700,349726
8800,366000
8900,365272
9000,360087
9100,377409
9200,364581
9300,363052
9400,371769
9500,383553
9600,384158
9700,393941
9800,391666
9900,415747
10000,404696
