11,1,3500,13
22,2,2727,25
10,1,3510,12
13,1,3398,15
8,1,3664,10
14,1,3356,16
15,1,3242,17
20,2,2782,23
6,1,3791,8
12,1,3454,14
4,0,4157,5
3,0,4164,4
21,2,2754,24
1,1,4348,2
19,2,2882,22
7,1,3738,9
5,1,3989,7
18,2,3060,21
17,1,3130,20
16,2,3130,18
9,1,3624,11
2,0,4204,3
49,4,778,54
46,4,854,51
48,3,831,53
42,3,1070,47
38,3,1338,43
45,4,913,50
50,4,778,55
47,3,831,52
39,3,1338,44
43,3,1067,48
44,3,1067,49
40,3,1242,45
41,3,1070,46
28,3,2089,32
23,2,2415,27
33,3,1532,38
30,3,1728,35
36,3,1503,41
26,3,2288,30
34,3,1532,39
31,2,1532,36
29,3,1926,34
24,2,2375,28
25,3,2324,29
32,2,1532,37
27,3,2146,31
35,3,1514,40
37,3,1403,42
