2,0,37801,2
17,2,32965,17
32,2,28918,32
23,2,32306,23
31,2,28918,31
47,3,26178,47
28,2,30133,28
16,1,33304,16
22,2,32370,22
3,1,37498,3
6,0,36572,6
26,2,30617,26
41,3,26786,41
50,3,24590,50
13,1,34063,13
35,3,27759,35
14,1,33926,14
9,1,35436,9
30,2,29406,30
12,1,34239,12
37,2,27759,37
24,1,31407,24
25,2,31242,25
39,3,27176,39
10,1,34825,10
1,0,38539,1
19,1,32761,19
21,2,32490,21
8,1,35784,8
29,2,29971,29
49,3,25121,49
27,2,30327,27
40,3,26866,40
5,1,36740,5
7,0,35900,7
15,1,33760,15
20,2,32500,20
18,1,32920,18
36,2,27759,36
11,1,34307,11
4,0,37004,4
48,3,25381,48
46,3,26178,46
42,3,26786,42
45,3,26755,45
44,3,26786,44
38,3,27411,38
33,2,28387,33
43,3,26786,43
34,2,28250,34
